category,value,substitution,basis
1,-1.337981534938323,presub,% of after-tax income
2,-0.8257892202002354,presub,% of after-tax income
3,-0.7969865128221174,presub,% of after-tax income
4,-0.7076879129460857,presub,% of after-tax income
5,-0.7250409057143856,presub,% of after-tax income
6,-0.714619052146475,presub,% of after-tax income
7,-0.6809515826710424,presub,% of after-tax income
8,-0.6563696195025396,presub,% of after-tax income
9,-0.6020222312717965,presub,% of after-tax income
10,-0.4234311761457838,presub,% of after-tax income
1,-516.677986749867,presub,2025 dollars
2,-513.1171876989875,presub,2025 dollars
3,-604.5724579608772,presub,2025 dollars
4,-625.6328228163842,presub,2025 dollars
5,-751.7206564456831,presub,2025 dollars
6,-854.1802154797042,presub,2025 dollars
7,-956.6933927515234,presub,2025 dollars
8,-1104.86983571647,presub,2025 dollars
9,-1284.136247985752,presub,2025 dollars
10,-2174.93659613002,presub,2025 dollars
