category,value,substitution,basis
1,-2.106196032930829,postsub,All 2025 Tariffs
2,-1.299923753957452,postsub,All 2025 Tariffs
3,-1.254583705209877,postsub,All 2025 Tariffs
4,-1.114013486642663,postsub,All 2025 Tariffs
5,-1.141329861027274,postsub,All 2025 Tariffs
6,-1.124924203649101,postsub,All 2025 Tariffs
7,-1.071926244561987,postsub,All 2025 Tariffs
8,-1.03323031942761,postsub,All 2025 Tariffs
9,-0.947678874581236,postsub,All 2025 Tariffs
10,-0.6665481100668523,postsub,All 2025 Tariffs
1,-813.3334411415636,postsub,All 2025 Tariffs
2,-807.7281763160131,postsub,All 2025 Tariffs
3,-951.6933375580089,postsub,All 2025 Tariffs
4,-984.8457060716665,postsub,All 2025 Tariffs
5,-1183.328037894814,postsub,All 2025 Tariffs
6,-1344.615702289409,postsub,All 2025 Tariffs
7,-1505.987770329939,postsub,All 2025 Tariffs
8,-1739.241091244385,postsub,All 2025 Tariffs
9,-2021.4349754647,postsub,All 2025 Tariffs
10,-3423.696598964121,postsub,All 2025 Tariffs
