Table 1. Summary Economic & Fiscal Effects of Trump Administration Tariffs,,
"Source: Congressional Budget Office, S&P Global, GTAP v7 [Corong et al (2017)], GTAP-RD, The Budget Lab analysis.",,
,,
,,
,,"Section 122
Extended"
Effective Tariff Rates at the End of 2026,,
"Overall, Pre-Substitution",,11.00%
"Overall, Post-Substitution",,9.60%
Fiscal,,
"Conventional Revenue, 2026-2035 (Trillions)",,$1.75 
"Dynamic Revenue, 2026-2035 (Trillions)",,$1.60 
Prices in the Medium Run,,
"Percent Change in PCE Price Level, pre-substitution",,1.00%
"Percent Change in PCE Price Level, post-substitution",,0.80%
"Average Household Real Income Loss, Pre-Substitution (2025$)",,"$1,338 "
"Average Household Real Income Loss, Post-Substitution (2025$)",,"$1,130 "
Output and Employment,,
"Percentage Point Change in Q4-Q4 GDP Growth, 2026",,0.1
Percent change in Q4 2026 GDP,,-0.11%
Percent change in long-run GDP,,-0.16%
"Percentage Point Change in the Unemployment Rate, End of 2026",,0.16
