time,series,value
2025-03-15,gdp_level,0
2025-06-15,gdp_level,-0.25138822353252377
2025-09-15,gdp_level,-0.3000261083260491
2025-12-15,gdp_level,-0.2651971483405208
2026-03-15,gdp_level,-0.22349432233490274
2026-06-15,gdp_level,-0.22154803971021317
2026-09-15,gdp_level,-0.15326562326031096
2026-12-15,gdp_level,-0.10624815997345793
2027-03-15,gdp_level,-0.09314375163009528
2027-06-15,gdp_level,-0.10001685454752769
2027-09-15,gdp_level,-0.1078442358481227
2027-12-15,gdp_level,-0.11709199915001306
2028-03-15,gdp_level,-0.12614452624197842
2028-06-15,gdp_level,-0.13302564135280187
2028-09-15,gdp_level,-0.13741287117962536
2028-12-15,gdp_level,-0.13954338522035728
2029-03-15,gdp_level,-0.14
2029-06-15,gdp_level,-0.14
2029-09-15,gdp_level,-0.14
2029-12-15,gdp_level,-0.14
2030-03-15,gdp_level,-0.14
2030-06-15,gdp_level,-0.14
2030-09-15,gdp_level,-0.14
2030-12-15,gdp_level,-0.14
2031-03-15,gdp_level,-0.14
2031-06-15,gdp_level,-0.14
2031-09-15,gdp_level,-0.14
2031-12-15,gdp_level,-0.14
2032-03-15,gdp_level,-0.14
2032-06-15,gdp_level,-0.14
2032-09-15,gdp_level,-0.14
2032-12-15,gdp_level,-0.14
2033-03-15,gdp_level,-0.14
2033-06-15,gdp_level,-0.14
2033-09-15,gdp_level,-0.14
2033-12-15,gdp_level,-0.14
2034-03-15,gdp_level,-0.14
2034-06-15,gdp_level,-0.14
2034-09-15,gdp_level,-0.14
2034-12-15,gdp_level,-0.14
2035-03-15,gdp_level,-0.14
2035-06-15,gdp_level,-0.14
2035-09-15,gdp_level,-0.14
2035-12-15,gdp_level,-0.14
