category,value,country_code,substitution,scenario,measure
China,27.219863010626675,chn,presub,tracker_actual_2026-08-11,level
China,24.66530105843949,chn,postsub,tracker_actual_2026-08-11,level
Canada,7.829554059871269,ca,presub,tracker_actual_2026-08-11,level
Canada,4.710202664573467,ca,postsub,tracker_actual_2026-08-11,level
Mexico,6.887469196139675,mx,presub,tracker_actual_2026-08-11,level
Mexico,4.643364436959823,mx,postsub,tracker_actual_2026-08-11,level
UK,7.059425558930235,uk,presub,tracker_actual_2026-08-11,level
UK,6.20660413605281,uk,postsub,tracker_actual_2026-08-11,level
Japan,13.14039122623581,jp,presub,tracker_actual_2026-08-11,level
Japan,12.707134638018935,jp,postsub,tracker_actual_2026-08-11,level
EU,8.193963585857915,eu,presub,tracker_actual_2026-08-11,level
EU,7.032140395297417,eu,postsub,tracker_actual_2026-08-11,level
Rest of World,11.36364477580658,row,presub,tracker_actual_2026-08-11,level
Rest of World,9.908523647830847,row,postsub,tracker_actual_2026-08-11,level
Free-trade partners,11.92542879919018,fta,presub,tracker_actual_2026-08-11,level
Free-trade partners,8.71142964712849,fta,postsub,tracker_actual_2026-08-11,level
Total,10.880262267573835,total,presub,tracker_actual_2026-08-11,level
Total,9.004700009138453,total,postsub,tracker_actual_2026-08-11,level
China,21.52860160143585,chn,presub,tracker_no_fl_301_2026-08-11,level
China,18.61957747056137,chn,postsub,tracker_no_fl_301_2026-08-11,level
Canada,7.671291227856308,ca,presub,tracker_no_fl_301_2026-08-11,level
Canada,4.622611524052442,ca,postsub,tracker_no_fl_301_2026-08-11,level
Mexico,6.600115467690586,mx,presub,tracker_no_fl_301_2026-08-11,level
Mexico,4.585401895434181,mx,postsub,tracker_no_fl_301_2026-08-11,level
UK,4.769653683007628,uk,presub,tracker_no_fl_301_2026-08-11,level
UK,4.372466821486612,uk,postsub,tracker_no_fl_301_2026-08-11,level
Japan,10.398800514781266,jp,presub,tracker_no_fl_301_2026-08-11,level
Japan,9.464372519929524,jp,postsub,tracker_no_fl_301_2026-08-11,level
EU,5.636913701407029,eu,presub,tracker_no_fl_301_2026-08-11,level
EU,4.553413489531356,eu,postsub,tracker_no_fl_301_2026-08-11,level
Rest of World,7.438747563655375,row,presub,tracker_no_fl_301_2026-08-11,level
Rest of World,6.505390558072737,row,postsub,tracker_no_fl_301_2026-08-11,level
Free-trade partners,8.439120761475309,fta,presub,tracker_no_fl_301_2026-08-11,level
Free-trade partners,5.377017755282857,fta,postsub,tracker_no_fl_301_2026-08-11,level
Total,8.306788075356707,total,presub,tracker_no_fl_301_2026-08-11,level
Total,6.839620446176728,total,postsub,tracker_no_fl_301_2026-08-11,level
China,27.214674317942357,chn,presub,tracker_no_polysilicon_2026-08-11,level
China,24.714517399913987,chn,postsub,tracker_no_polysilicon_2026-08-11,level
Canada,7.828339900873093,ca,presub,tracker_no_polysilicon_2026-08-11,level
Canada,4.709946878139004,ca,postsub,tracker_no_polysilicon_2026-08-11,level
Mexico,6.880737028278036,mx,presub,tracker_no_polysilicon_2026-08-11,level
