time,series,value,partner
2024Q1,Average rate,3.0,china
2024Q2,Average rate,5.4,china
2024Q3,Average rate,7.8,china
2024Q4,Average rate,10.2,china
2025Q1,Average rate,12.6,china
2025Q2,Average rate,15.0,china
2025Q3,Average rate,17.4,china
2025Q4,Average rate,19.8,china
2026Q1,Average rate,22.2,china
2026Q2,Average rate,24.6,china
2024Q1,Average rate,1.5,eu
2024Q2,Average rate,2.5,eu
2024Q3,Average rate,3.5,eu
2024Q4,Average rate,4.5,eu
2025Q1,Average rate,5.5,eu
2025Q2,Average rate,6.5,eu
2025Q3,Average rate,7.5,eu
2025Q4,Average rate,8.5,eu
2026Q1,Average rate,9.5,eu
2026Q2,Average rate,10.5,eu
2024Q1,Average rate,0.4,mexico
2024Q2,Average rate,1.0,mexico
2024Q3,Average rate,1.6,mexico
2024Q4,Average rate,2.2,mexico
2025Q1,Average rate,2.8,mexico
2025Q2,Average rate,3.4,mexico
2025Q3,Average rate,4.0,mexico
2025Q4,Average rate,4.6,mexico
2026Q1,Average rate,5.2,mexico
2026Q2,Average rate,5.8,mexico
